DATE,Temp_Max_C,Temp_Min_C,Temp_Mean_C,Rainfall_mm,SolarRad_MJ_m2,Rel_Humidity_pct,WindSpeed_mps,GDD,Cumulative_Rainfall_mm
2015-01-01,26.19,15.89,19.42,20.14,5.24,80.81,1.76,11.04,20.14
2015-01-02,27.36,15.59,20.18,3.32,6.2,78.88,2.73,11.475000000000001,23.46
2015-01-03,25.55,13.74,19.2,0.12,8.98,75.55,1.64,9.645,23.580000000000002
2015-01-04,27.06,13.88,19.45,0.0,14.33,66.61,1.95,10.469999999999999,23.580000000000002
2015-01-05,26.32,9.7,17.18,0.0,17.07,58.2,1.46,8.009999999999998,23.580000000000002
2015-01-06,27.96,9.26,18.11,0.0,18.39,49.88,2.22,8.61,23.580000000000002
2015-01-07,28.14,10.95,18.85,0.0,18.39,41.61,1.7,9.545000000000002,23.580000000000002
2015-01-08,27.51,9.82,17.74,0.0,18.81,48.63,0.92,8.665,23.580000000000002
2015-01-09,27.04,8.39,16.64,0.0,18.84,47.22,1.7,7.715,23.580000000000002
2015-01-10,27.88,8.14,17.17,0.0,19.31,44.42,1.11,8.009999999999998,23.580000000000002
2015-01-11,28.79,8.38,17.93,0.0,19.18,43.91,1.58,8.585,23.580000000000002
2015-01-12,29.1,9.4,18.27,0.0,19.21,45.44,1.56,9.25,23.580000000000002
2015-01-13,28.94,8.8,18.0,0.0,19.37,43.39,2.02,8.870000000000001,23.580000000000002
2015-01-14,30.41,10.18,19.09,0.0,18.81,38.76,1.82,10.295000000000002,23.580000000000002
2015-01-15,28.36,9.47,18.16,0.0,18.0,44.66,2.29,8.915,23.580000000000002
2015-01-16,28.94,10.1,18.66,0.0,17.81,51.57,2.54,9.52,23.580000000000002
2015-01-17,28.52,9.8,18.46,0.0,18.04,52.5,2.32,9.16,23.580000000000002
2015-01-18,28.94,10.27,18.91,0.0,17.87,44.65,2.4,9.605,23.580000000000002
2015-01-19,29.32,10.71,19.49,0.0,17.43,43.4,2.03,10.015,23.580000000000002
2015-01-20,30.61,12.42,20.96,0.0,13.24,42.21,4.32,11.515,23.580000000000002
2015-01-21,29.3,13.8,21.74,0.06,14.88,52.52,2.72,11.55,23.64
2015-01-22,27.48,17.9,21.92,0.65,12.83,62.05,2.08,12.689999999999998,24.29
2015-01-23,28.32,14.86,21.7,0.01,14.41,61.83,2.69,11.59,24.3
2015-01-24,29.23,16.01,22.15,5.74,14.53,60.69,2.73,12.620000000000001,30.04
2015-01-25,31.12,16.69,22.51,1.16,14.9,61.69,2.36,13.905000000000001,31.2
2015-01-26,26.59,16.82,21.14,0.03,15.16,67.63,1.68,11.704999999999998,31.23
2015-01-27,29.13,15.74,21.7,0.01,16.68,64.14,2.57,12.434999999999999,31.240000000000002
2015-01-28,29.9,14.36,21.31,0.0,16.82,62.9,2.74,12.129999999999999,31.240000000000002
2015-01-29,28.47,13.42,20.34,0.0,17.42,61.91,1.97,10.945,31.240000000000002
2015-01-30,29.03,11.59,19.28,0.0,17.72,46.78,2.35,10.310000000000002,31.240000000000002
2015-01-31,31.16,9.92,19.69,0.0,19.38,33.15,1.65,10.54,31.240000000000002
2015-02-01,33.02,11.88,21.91,0.0,18.51,32.1,3.47,12.450000000000003,31.240000000000002
2015-02-02,33.87,14.9,23.89,0.0,18.77,33.12,2.94,14.384999999999998,31.240000000000002
2015-02-03,33.18,15.67,23.66,0.0,17.63,36.23,2.08,14.425,31.240000000000002
2015-02-04,32.83,15.81,23.82,0.0,17.31,40.69,1.96,14.32,31.240000000000002
