Crop_Type,Soil_Type,Field_Size,Sowing_Date,Sowing_Day_of_Year,Sowing_Month,District,Latitude,Longitude,Avg_Temp,Tmax,Tmin,Rainfall,Cumulative_Rainfall,Relative_Humidity,WindSpeed,Solar_Radiation,Growing_Degree_Days,Season,Avg_Yield_Last_3Years,Max_Yield_Last_3Years,Min_Yield_Last_3Years,Season_Length,Irrigation_Frequency,Soil_Organic_Matter,Soil_pH,NDVI,Evapotranspiration_ET0,Actual_Yield,Soil_Sand_Percent,Soil_Clay_Percent,Soil_Silt_Percent,Elevation,Fertilizer_NPK,Crop_Cotton,Crop_Maize,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Wheat,Soil_Alluvial,Soil_Black,Soil_Laterite,Soil_Loamy,Soil_Red,Soil_Sandy,Season_Kharif,Season_Rabi,District_Andhra Pradesh,District_Bihar,District_Gujarat,District_Haryana,District_Karnataka,District_Madhya Pradesh,District_Maharashtra,District_Punjab,District_Rajasthan,District_Tamil Nadu,District_Uttar Pradesh,District_West Bengal
Sugarcane,Alluvial,2.45,2023-06-16,167,6,Uttar Pradesh,26.8467,80.9462,25.6,33.9,17.5,1324.8,1324.8,73.1,2.6,23.7,864.4,Kharif,109.86,134.39,67.0,113,2,3.5,6.3,0.9,222.62,51.53,41.2,34.0,24.7,332,High,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Sugarcane,Alluvial,3.68,2023-06-03,154,6,Uttar Pradesh,26.8467,80.9462,27.0,34.0,20.5,1809.3,1809.3,74.8,9.3,18.7,1428.6,Kharif,93.98,122.59,65.99,159,8,2.17,7.24,0.9,176.15,50.66,52.0,27.0,21.1,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Wheat,Alluvial,3.39,2023-11-15,319,11,Haryana,29.0588,76.0856,20.9,30.5,13.7,309.7,309.7,45.3,9.5,23.1,2297.1,Rabi,5.2,6.18,3.93,138,11,2.59,7.45,0.831,204.9,5.58,34.7,18.1,47.2,543,Low,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Soybean,Black,1.83,2023-06-18,169,6,Maharashtra,19.7515,75.7139,26.6,32.3,21.8,1105.8,1105.8,76.8,7.4,19.6,2772.3,Kharif,2.99,3.8,2.42,169,9,2.04,7.72,0.9,229.41,3.14,37.3,31.7,30.9,332,Low,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Rice,Black,13.67,2023-06-10,161,6,Haryana,29.0588,76.0856,27.5,36.9,20.1,1248.3,1248.3,73.7,10.4,18.3,2444.5,Kharif,5.6,7.26,4.52,143,19,3.75,7.58,0.9,189.06,3.62,34.2,48.0,17.8,543,Medium,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Maize,Alluvial,2.32,2023-06-23,174,6,Karnataka,15.3173,75.7139,28.6,37.2,25.2,1149.3,1149.3,70.7,9.0,18.0,2581.5,Kharif,5.78,7.62,5.04,137,5,3.24,6.26,0.9,219.75,8.51,30.6,34.4,35.0,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Soybean,Black,2.96,2023-07-05,186,7,Maharashtra,19.7515,75.7139,27.9,36.3,22.3,849.2,849.2,70.6,8.5,18.7,1929.9,Kharif,2.17,2.45,1.57,104,8,2.83,7.53,0.9,210.96,1.23,24.2,55.0,20.8,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Cotton,Red,5.24,2023-07-10,191,7,Maharashtra,19.7515,75.7139,26.9,32.7,23.5,1341.4,1341.4,72.6,11.7,19.5,1203.0,Kharif,1.22,1.57,0.92,100,4,1.72,5.8,0.9,230.8,1.6,53.6,17.8,28.6,332,Low,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Maize,Black,5.61,2023-07-20,201,7,Andhra Pradesh,15.9129,79.74,25.8,37.0,22.0,1115.6,1115.6,86.0,3.8,18.0,2073.9,Kharif,6.82,7.75,5.31,131,5,2.47,7.51,0.9,211.41,3.55,30.5,39.1,30.4,332,Low,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Rice,Alluvial,0.63,2023-06-30,181,6,Haryana,29.0588,76.0856,32.4,47.0,22.0,1228.0,1228.0,71.2,9.8,19.6,2036.0,Kharif,4.22,4.7,2.67,91,16,2.54,7.84,0.9,261.78,4.14,43.0,20.8,36.2,543,Medium,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
