Crop_Type,Sowing_Date,Avg_Temp,Tmax,Tmin,Actual_Yield,Germination_Days_From_Sowing,Germination_GDD_Required,Germination_Predicted_Date,Leaf_Development_Days_From_Sowing,Leaf_Development_GDD_Required,Leaf_Development_Predicted_Date,Tillering_Elongation_Days_From_Sowing,Tillering_Elongation_GDD_Required,Tillering_Elongation_Predicted_Date,Reproductive_Days_From_Sowing,Reproductive_GDD_Required,Reproductive_Predicted_Date,Grain_Filling_Days_From_Sowing,Grain_Filling_GDD_Required,Grain_Filling_Predicted_Date,Maturity_Days_From_Sowing,Maturity_GDD_Required,Maturity_Predicted_Date,Total_Season_Length_Predicted,Total_GDD_Required,Current_Growth_Stage,Days_To_Maturity,Harvest_Window_Start,Harvest_Window_End,Sowing_Date_dt
Wheat,2023-11-24,20.1,27.1,15.5,2.2,7,73.3,2023-12-01,21,302.1,2023-12-15,48,744.4,2024-01-11,95,1342.5,2024-02-27,85,1697.7,2024-02-17,131,1891.3,2024-04-03,120,1938.0,Tillering_Elongation,131,2024-04-08,2024-04-18,2023-11-24
Cotton,2023-06-08,33.7,41.4,28.2,1.6,8,95.3,2023-06-16,27,518.5,2023-07-05,56,1258.0,2023-08-03,106,2085.3,2023-09-22,164,2806.6,2023-11-19,229,4175.9,2024-01-23,226,3933.0,Leaf_Development,229,2024-01-28,2024-02-07,2023-06-08
Cotton,2023-06-02,32.6,38.8,24.9,2.6,10,110.2,2023-06-12,34,504.0,2023-07-06,78,1170.3,2023-08-19,125,2484.8,2023-10-05,149,3024.9,2023-10-29,193,4126.4,2023-12-12,215,3628.0,Maturity,193,2023-12-17,2023-12-27,2023-06-02
Rice,2023-07-18,25.2,33.1,19.6,1.9,5,103.5,2023-07-23,31,378.1,2023-08-18,54,855.2,2023-09-10,86,1633.1,2023-10-12,95,1969.4,2023-10-21,143,2479.5,2023-12-08,137,2616.0,Tillering_Elongation,143,2023-12-13,2023-12-23,2023-07-18
Soybean,2023-06-18,27.0,38.5,19.6,1.7,8,72.5,2023-06-26,22,409.4,2023-07-10,32,654.9,2023-07-20,54,1141.7,2023-08-11,72,1788.7,2023-08-29,115,2180.4,2023-10-11,101,1965.0,Tillering_Elongation,115,2023-10-16,2023-10-26,2023-06-18
Maize,2023-06-16,29.3,35.4,24.8,9.5,8,115.7,2023-06-24,24,490.8,2023-07-10,49,920.9,2023-08-04,63,1551.1,2023-08-18,81,1977.1,2023-09-05,121,2344.9,2023-10-15,131,2518.0,Maturity,121,2023-10-20,2023-10-30,2023-06-16
Cotton,2023-06-15,34.4,45.7,28.2,2.2,10,94.3,2023-06-25,33,422.0,2023-07-18,74,1194.3,2023-08-28,108,2409.0,2023-10-01,145,2952.4,2023-11-07,188,3857.5,2023-12-20,237,3585.0,Leaf_Development,188,2023-12-25,2024-01-04,2023-06-15
Wheat,2023-10-23,19.9,27.8,13.8,2.3,6,62.6,2023-10-29,26,396.2,2023-11-18,35,699.4,2023-11-27,87,1329.6,2024-01-18,101,1411.1,2024-02-01,137,2093.0,2024-03-08,118,1921.0,Germination,137,2024-03-13,2024-03-23,2023-10-23
Cotton,2023-07-18,29.2,38.5,22.8,1.1,11,89.5,2023-07-29,29,560.6,2023-08-16,55,1189.7,2023-09-11,130,2199.4,2023-11-25,172,2845.1,2024-01-06,238,3605.5,2024-03-12,234,4033.0,Reproductive,238,2024-03-17,2024-03-27,2023-07-18
Wheat,2023-10-21,19.6,29.9,12.4,3.6,5,67.0,2023-10-26,26,339.8,2023-11-16,35,787.3,2023-11-25,88,1435.1,2024-01-17,94,1434.0,2024-01-23,137,1877.4,2024-03-06,129,1994.0,Reproductive,137,2024-03-11,2024-03-21,2023-10-21
Maize,2023-07-14,27.5,35.6,22.2,9.2,5,144.4,2023-07-19,28,464.2,2023-08-11,38,987.1,2023-08-21,79,1579.7,2023-10-01,90,1832.3,2023-10-12,134,2250.7,2023-11-25,115,2649.0,Maturity,134,2023-11-30,2023-12-10,2023-07-14
Maize,2023-07-18,31.2,41.1,26.3,5.4,8,124.7,2023-07-26,25,436.6,2023-08-12,35,969.8,2023-08-22,75,1461.6,2023-10-01,93,1637.5,2023-10-19,121,2518.2,2023-11-16,132,2209.0,Grain_Filling,121,2023-11-21,2023-12-01,2023-07-18
Maize,2023-07-28,26.9,36.8,20.3,9.3,7,136.1,2023-08-04,18,457.2,2023-08-15,46,808.7,2023-09-12,73,1588.1,2023-10-09,77,1965.9,2023-10-13,136,2573.9,2023-12-11,132,2298.0,Grain_Filling,136,2023-12-16,2023-12-26,2023-07-28
Maize,2023-07-05,29.5,36.0,24.3,4.8,6,115.8,2023-07-11,23,455.7,2023-07-28,42,939.2,2023-08-16,77,1414.1,2023-09-20,96,1846.0,2023-10-09,126,2379.3,2023-11-08,131,2626.0,Germination,126,2023-11-13,2023-11-23,2023-07-05
